plataforma,tempo_captura,uso_memoria,resolucao_suportada,dispositivo,sucesso
ios,6.332660814588108,202.59841303439595,4K (3840x2160),iPhone 14,True
ios,9.519556167600358,257.2396408727764,Full HD (1920x1080),iPhone 8,True
ios,6.697764950387589,179.31434292807387,4K (3840x2160),iPhone 14,True
ios,8.197492912287206,272.43653878297926,Full HD (1920x1080),iPhone 8,True
ios,6.541585031877088,199.72193314294142,4K (3840x2160),iPhone 11,True
ios,6.363161957399397,192.98644435219106,4K (3840x2160),iPhone 11,True
ios,7.5844789139305036,217.0510418522555,4K (3840x2160),iPhone SE (2022),True
ios,6.418403449672212,218.2216957569259,4K (3840x2160),iPhone 11,True
ios,6.527889597787015,216.81024224690137,4K (3840x2160),iPhone SE (2022),True
ios,8.179075985963827,195.92273887549166,4K (3840x2160),iPhone 12,True
ios,11.090308827909782,246.9939554948011,Full HD (1920x1080),iPhone 8,True
ios,10.374063853253121,272.7291369569255,Full HD (1920x1080),iPhone 8,True
ios,8.387777344842464,176.1299044406943,4K (3840x2160),iPhone 12,True
ios,8.068548924078755,185.55511562050683,4K (3840x2160),iPhone 14,True
ios,7.750451373592081,181.44296827485147,4K (3840x2160),iPhone 11,True
ios,7.247463179062093,159.34002144721512,4K (3840x2160),iPhone 11,True
ios,10.477381461461624,240.27915565029568,Full HD (1920x1080),iPhone 8,True
ios,6.838039432254371,203.35809545398195,4K (3840x2160),iPhone 12,True
ios,11.867486574045722,224.82240345603745,Full HD (1920x1080),iPhone 8,True
ios,4.75973716804125,199.3331248914623,4K (3840x2160),iPhone 11,True
ios,6.050071701347259,169.43141225928474,4K (3840x2160),iPhone 11,True
ios,9.654448634594472,206.99052085896852,Full HD (1920x1080),iPhone 8,True
ios,8.272047532852078,219.09942424650444,4K (3840x2160),iPhone SE (2022),True
ios,6.4038622476570595,190.1537558245772,4K (3840x2160),iPhone 11,True
ios,7.914324467765222,185.675842797817,4K (3840x2160),iPhone SE (2022),True
ios,8.065116985651684,186.53096267700013,4K (3840x2160),iPhone 11,True
ios,7.82211037360282,203.4755829778058,4K (3840x2160),iPhone SE (2022),True
ios,9.45949321150031,179.26795611102054,4K (3840x2160),iPhone 14,True
ios,6.19922682654414,198.3626551280209,4K (3840x2160),iPhone 11,True
ios,7.063585832580266,219.9677396421674,4K (3840x2160),iPhone 14,True
ios,7.8247737720526604,189.72031517641267,4K (3840x2160),iPhone 12,True
ios,7.425763522664668,190.34140379920632,4K (3840x2160),iPhone SE (2022),True
ios,7.06953847232744,187.99312205436917,4K (3840x2160),iPhone 12,True
ios,7.914059229864469,226.3849648363764,4K (3840x2160),iPhone SE (2022),True
ios,7.378880677459785,204.78650502705148,4K (3840x2160),iPhone 12,True
ios,11.010468878094587,211.47216589922598,Full HD (1920x1080),iPhone 8,True
web,8.635050282734445,257.87692543516283,Baseada no navegador (até Full HD),Firefox Desktop,True
web,7.671883715723186,303.86925039162827,Baseada no navegador (até Full HD),Chrome Mobile,True
web,7.737503890299413,346.04569333879107,Baseada no navegador (até Full HD),Chrome Mobile,True
web,9.73123816423416,278.3014027501052,Baseada no navegador (até Full HD),Safari Desktop,True
web,10.109972696054044,316.2501249538984,Baseada no navegador (até Full HD),Edge Desktop,True
web,7.380130013169425,295.176807354458,Baseada no navegador (até Full HD),Chrome Mobile,True
web,9.879637209527324,323.7069164513821,Baseada no navegador (até Full HD),Edge Desktop,True
web,9.049729658036476,233.76302438870115,Baseada no navegador (até Full HD),Edge Desktop,True
web,7.306054783353809,325.0216665367955,Baseada no navegador (até Full HD),Chrome Mobile,True
web,8.899311188732872,303.8124189129746,Baseada no navegador (até Full HD),Safari Desktop,True
web,8.946633906807845,248.5790659941337,Baseada no navegador (até Full HD),Edge Desktop,True
web,10.54551743334903,293.5856378978068,Baseada no navegador (até Full HD),Safari Desktop,True
web,7.6289614223283,288.30298995034184,Baseada no navegador (até Full HD),Chrome Desktop,True
web,9.311358537192222,270.4245760135134,Baseada no navegador (até Full HD),Chrome Desktop,True
web,10.393364608601797,288.50367216788254,Baseada no navegador (até Full HD),Firefox Desktop,True
web,9.444838881550735,287.612541751259,Baseada no navegador (até Full HD),Safari Desktop,True
web,10.624126882239882,242.98642725818868,Baseada no navegador (até Full HD),Safari Desktop,True
web,10.209272431807928,288.84901812765816,Baseada no navegador (até Full HD),Chrome Mobile,True
web,8.207400408291392,279.6046053738105,Baseada no navegador (até Full HD),Firefox Desktop,True
web,9.161396792933306,289.7310596243907,Baseada no navegador (até Full HD),Edge Desktop,True
web,9.906631212796519,226.5950596784004,Baseada no navegador (até Full HD),Firefox Desktop,True
web,8.96910885602796,295.10130754151584,Baseada no navegador (até Full HD),Chrome Mobile,True
web,8.42589032147639,298.0339231628772,Baseada no navegador (até Full HD),Chrome Desktop,True
web,9.771831565823769,269.66036416608574,Baseada no navegador (até Full HD),Safari Desktop,True
web,7.963264974573077,268.15595098145064,Baseada no navegador (até Full HD),Chrome Desktop,True
web,7.3682633991437525,267.10759111248024,Baseada no navegador (até Full HD),Chrome Desktop,True
web,9.39168109847991,271.1487060728568,Baseada no navegador (até Full HD),Chrome Mobile,True
web,8.385568956897387,326.82821613925233,Baseada no navegador (até Full HD),Safari Desktop,True
web,9.928881726193111,282.6164089861478,Baseada no navegador (até Full HD),Chrome Mobile,True
web,8.598817734388664,311.26726944686646,Baseada no navegador (até Full HD),Chrome Mobile,True
web,8.872733633506053,285.389068612426,Baseada no navegador (até Full HD),Firefox Desktop,True
web,9.393888968195315,302.84914306474394,Baseada no navegador (até Full HD),Chrome Desktop,True
web,9.311913050944835,280.3038242167152,Baseada no navegador (até Full HD),Firefox Desktop,True
web,6.650696800486754,295.9418926189669,Baseada no navegador (até Full HD),Chrome Desktop,True
web,9.881843536755659,350.66707345020285,Baseada no navegador (até Full HD),Chrome Mobile,True
web,7.570232344364913,206.40962049395569,Baseada no navegador (até Full HD),Chrome Desktop,True
web,8.521572775230172,315.8970176628663,Baseada no navegador (até Full HD),Edge Desktop,True
web,9.850977704215092,277.00744273811245,Baseada no navegador (até Full HD),Edge Desktop,True
web,9.563414819523363,304.21465730587573,Baseada no navegador (até Full HD),Chrome Mobile,True
web,9.107845808627182,311.18949602972924,Baseada no navegador (até Full HD),Chrome Desktop,True
web,8.283239621870297,323.99736620487494,Baseada no navegador (até Full HD),Edge Desktop,True
web,10.553244200481164,299.98692479697996,Baseada no navegador (até Full HD),Firefox Desktop,True
web,8.120754178280832,305.09622174439386,Baseada no navegador (até Full HD),Chrome Mobile,True
web,9.128209248622506,270.2082608018165,Baseada no navegador (até Full HD),Chrome Desktop,True
web,8.76634234942592,337.60273487007527,Baseada no navegador (até Full HD),Firefox Desktop,True
web,6.687427260555729,256.5306295740014,Baseada no navegador (até Full HD),Chrome Desktop,False
web,7.479906570625297,255.99237942556718,Baseada no navegador (até Full HD),Firefox Desktop,False
web,8.774358404210723,260.8569907935495,Baseada no navegador (até Full HD),Edge Desktop,False
web,8.878541668861317,256.1995746611165,Baseada no navegador (até Full HD),Safari Desktop,False
web,8.769921292835248,322.1097770277473,Baseada no navegador (até Full HD),Chrome Mobile,False
